AveragePrice,Total Volume,type,region,month
1.19,182876.15,0,7,3
1.19,183944.05,0,7,3
1.25,159386.69,0,7,3
1.18,176146.34,0,7,3
1.08,201741.43,0,7,2
1.22,156798.51,0,7,2
1.17,150139.38,0,7,2
0.98,254009.7,0,7,2
1.18,167270.13,0,7,1
1.25,152671.15,0,7,1
1.26,159942.68,0,7,1
1.19,166006.29,0,7,1
0.93,661137.13,0,8,12
0.91,690669.34,0,8,12
1.07,668601.5,0,8,12
1.14,664020.49,0,8,12
1.11,602481.22,0,8,11
0.94,751897.89,0,8,11
1.17,641881.96,0,8,11
1.01,711146.61,0,8,11
1.0,807041.46,0,8,11
1.12,687650.27,0,8,10
1.15,690302.58,0,8,10
1.08,708914.17,0,8,10
1.18,675172.63,0,8,10
1.15,720501.55,0,8,9
1.19,729117.42,0,8,9
1.19,775671.49,0,8,9
1.11,808677.78,0,8,9
1.12,773773.53,0,8,8
1.2,751850.01,0,8,8
1.16,817690.89,0,8,8
1.25,731125.01,0,8,8
1.27,761027.42,0,8,8
1.12,791332.34,0,8,7
1.24,797060.27,0,8,7
1.26,772151.2,0,8,7
1.24,937317.45,0,8,7
1.21,786250.22,0,8,6
1.24,804902.52,0,8,6
1.21,868197.41,0,8,6
1.24,824216.23,0,8,6
1.26,803571.87,0,8,5
1.23,887105.04,0,8,5
1.23,817870.17,0,8,5
1.23,835938.63,0,8,5
1.04,978376.13,0,8,5
1.24,779868.01,0,8,4
1.24,832529.06,0,8,4
1.24,710718.98,0,8,4
1.27,751812.42,0,8,4
1.22,757271.96,0,8,3
1.21,799946.53,0,8,3
1.09,827010.39,0,8,3
1.18,772997.09,0,8,3
1.09,863391.73,0,8,3
1.18,773078.09,0,8,2
1.17,726401.24,0,8,2
1.13,729325.61,0,8,2
0.91,1133491.66,0,8,2
1.22,745439.17,0,8,1
1.14,797741.43,0,8,1
1.15,802874.94,0,8,1
1.11,783068.03,0,8,1
0.87,162993.77,0,9,12
0.85,175425.57,0,9,12
0.79,207386.27,0,9,12
0.83,207513.04,0,9,12
0.88,141356.34,0,9,11
0.89,174892.99,0,9,11
0.88,193723.22,0,9,11
0.87,239070.13,0,9,11
0.93,254760.33,0,9,11
1.01,203681.71,0,9,10
0.98,186044.56,0,9,10
0.91,213527.77,0,9,10
0.93,235243.88,0,9,10
1.08,202012.62,0,9,9
1.05,210445.12,0,9,9
1.05,216548.9,0,9,9
1.02,232157.91,0,9,9
1.01,234132.09,0,9,8
1.05,208608.84,0,9,8
1.01,234349.47,0,9,8
1.08,214374.41,0,9,8
1.09,206121.36,0,9,8
1.03,216611.18,0,9,7
1.06,223479.02,0,9,7
1.03,218170.8,0,9,7
1.03,250626.33,0,9,7
1.01,225165.84,0,9,6
1.02,243012.2,0,9,6
1.05,229363.51,0,9,6
1.07,234981.67,0,9,6
1.06,222382.69,0,9,5
1.1,222390.09,0,9,5
1.04,234579.34,0,9,5
1.06,259598.76,0,9,5
1.08,238140.96,0,9,5
1.06,214469.51,0,9,4
1.02,226978.72,0,9,4
1.02,188937.83,0,9,4
1.06,196168.6,0,9,4
0.95,198365.16,0,9,3
0.98,212719.94,0,9,3
0.94,196008.57,0,9,3
0.87,219110.81,0,9,3
0.89,226951.64,0,9,3
0.93,183072.02,0,9,2
0.94,169950.37,0,9,2
0.93,186617.2,0,9,2
0.86,300905.18,0,9,2
0.93,213554.45,0,9,1
0.93,175681.09,0,9,1
0.92,201392.27,0,9,1
0.88,228569.58,0,9,1
0.99,107565.04,0,10,12
1.03,117393.22,0,10,12
1.03,124617.07,0,10,12
0.99,137195.59,0,10,12
1.03,97235.6,0,10,11
1.04,115089.62,0,10,11
0.99,117462.94,0,10,11
0.95,152084.79,0,10,11
0.99,135237.01,0,10,11
1.04,119210.27,0,10,10
0.98,137773.84,0,10,10
0.9,145305.65,0,10,10
0.93,134326.53,0,10,10
1.02,137298.77,0,10,9
1.0,165068.86,0,10,9
1.02,169025.14,0,10,9
1.04,144563.15,0,10,9
1.03,147230.76,0,10,8
1.08,130920.97,0,10,8
1.03,155881.73,0,10,8
1.0,167387.9,0,10,8
1.05,148597.91,0,10,8
1.02,159846.2,0,10,7
1.05,159137.17,0,10,7
1.04,143992.91,0,10,7
0.98,173370.68,0,10,7
0.94,159970.54,0,10,6
0.99,164161.25,0,10,6
1.01,171353.59,0,10,6
1.03,187983.88,0,10,6
1.1,143985.96,0,10,5
1.01,171879.57,0,10,5
1.0,180511.78,0,10,5
1.1,162802.65,0,10,5
0.99,176737.77,0,10,5
1.02,161438.17,0,10,4
1.0,172913.44,0,10,4
1.07,129397.39,0,10,4
1.09,126109.82,0,10,4
0.96,139065.31,0,10,3
0.94,182625.49,0,10,3
1.01,149884.1,0,10,3
0.95,141281.56,0,10,3
1.03,136795.35,0,10,3
1.09,114280.87,0,10,2
1.05,106663.68,0,10,2
0.96,128078.27,0,10,2
0.87,216653.06,0,10,2
1.08,116995.68,0,10,1
1.02,116450.21,0,10,1
0.97,125742.48,0,10,1
0.89,158638.04,0,10,1
0.8,1020390.64,0,11,12
0.82,928051.16,0,11,12
0.79,980891.18,0,11,12
0.74,1054849.97,0,11,12
0.8,839818.87,0,11,11
0.78,885067.49,0,11,11
0.71,1040439.71,0,11,11
0.8,977717.36,0,11,11
0.78,1114177.66,0,11,11
0.86,1010394.81,0,11,10
0.83,992983.76,0,11,10
0.81,1100679.15,0,11,10
0.82,1104602.14,0,11,10
0.84,1063583.86,0,11,9
0.77,1155212.67,0,11,9
0.86,1212585.41,0,11,9
0.84,1270739.69,0,11,9
0.82,1101680.91,0,11,8
0.85,1120172.03,0,11,8
0.88,1122668.33,0,11,8
0.85,1124259.51,0,11,8
0.87,1067498.21,0,11,8
0.8,1191310.92,0,11,7
0.82,1186878.88,0,11,7
0.82,1144448.23,0,11,7
0.83,1320696.13,0,11,7
0.77,1203553.98,0,11,6
0.75,1283503.44,0,11,6
0.65,1508750.45,0,11,6
0.73,1255575.78,0,11,6
0.68,1377670.81,0,11,5
0.81,1184131.34,0,11,5
0.73,1219398.43,0,11,5
0.75,1298826.19,0,11,5
0.77,1282852.08,0,11,5
0.81,1102639.51,0,11,4
0.8,1137811.87,0,11,4
0.72,1266899.55,0,11,4
0.77,1324348.89,0,11,4
0.79,1164808.22,0,11,3
0.67,1333424.37,0,11,3
0.72,1211158.55,0,11,3
0.75,1218684.28,0,11,3
0.82,1144032.03,0,11,3
0.8,1116600.76,0,11,2
0.77,1020856.87,0,11,2
0.67,1207167.54,0,11,2
0.68,1391089.32,0,11,2
0.8,1008295.47,0,11,1
0.76,1091677.29,0,11,1
0.76,1128693.04,0,11,1
0.74,1086363.97,0,11,1
0.98,625475.1,0,12,12
1.05,528944.54,0,12,12
0.83,741702.5,0,12,12
0.76,838225.19,0,12,12
1.12,429109.64,0,12,11
0.85,724865.72,0,12,11
0.82,925618.09,0,12,11
0.93,690633.88,0,12,11
0.82,831994.43,0,12,11
0.93,735206.51,0,12,10
0.87,805437.95,0,12,10
0.9,775976.51,0,12,10
1.02,678935.84,0,12,10
0.97,694871.74,0,12,9
0.98,760083.16,0,12,9
1.01,735436.91,0,12,9
1.09,729046.74,0,12,9
1.14,721703.83,0,12,8
1.2,598195.03,0,12,8
1.17,648148.15,0,12,8
1.09,669377.04,0,12,8
1.05,727916.83,0,12,8
1.18,703672.69,0,12,7
1.1,857872.86,0,12,7
1.18,738933.68,0,12,7
1.19,736913.15,0,12,7
1.2,696697.65,0,12,6
1.16,730826.79,0,12,6
1.16,743005.75,0,12,6
1.11,782886.63,0,12,6
1.26,600377.94,0,12,5
1.16,657593.22,0,12,5
1.21,592588.01,0,12,5
1.08,735145.02,0,12,5
1.01,781496.4,0,12,5
1.19,620827.49,0,12,4
1.08,797021.22,0,12,4
1.05,858680.51,0,12,4
1.19,645727.95,0,12,4
1.11,627546.3,0,12,3
1.15,603112.11,0,12,3
1.03,662131.8,0,12,3
1.03,719792.51,0,12,3
1.03,670820.5,0,12,3
1.0,899302.8,0,12,2
1.12,629074.28,0,12,2
0.95,766576.39,0,12,2
0.93,990211.57,0,12,2
1.02,695658.81,0,12,1
0.99,808194.41,0,12,1
1.09,666579.35,0,12,1
0.99,668086.0,0,12,1
1.08,255499.7,0,13,12
1.1,250436.24,0,13,12
1.05,275587.85,0,13,12
0.98,339797.19,0,13,12
1.11,228427.08,0,13,11
1.09,270529.34,0,13,11
1.1,248933.35,0,13,11
1.03,343645.67,0,13,11
1.04,340746.59,0,13,11
1.17,251336.74,0,13,10
0.97,358143.26,0,13,10
0.99,362400.65,0,13,10
1.1,286400.89,0,13,10
1.17,257472.31,0,13,9
1.0,373545.23,0,13,9
1.03,401472.63,0,13,9
1.09,336982.39,0,13,9
0.96,422762.9,0,13,8
1.11,267968.5,0,13,8
0.97,400251.59,0,13,8
1.07,341289.98,0,13,8
1.04,364735.69,0,13,8
0.99,326233.8,0,13,7
1.04,370830.93,0,13,7
1.02,310049.5,0,13,7
1.06,373691.57,0,13,7
1.0,329753.61,0,13,6
0.97,424580.52,0,13,6
1.04,372413.5,0,13,6
0.97,447813.52,0,13,6
1.09,324400.67,0,13,5
1.03,373245.43,0,13,5
0.95,495155.82,0,13,5
1.11,360917.96,0,13,5
1.06,374659.88,0,13,5
1.01,361243.2,0,13,4
0.96,468643.05,0,13,4
1.02,271182.01,0,13,4
1.11,295385.41,0,13,4
0.97,304048.16,0,13,3
0.97,455372.43,0,13,3
1.13,254974.87,0,13,3
1.01,278695.29,0,13,3
0.97,397899.56,0,13,3
1.15,250888.8,0,13,2
1.16,255597.63,0,13,2
1.11,268195.87,0,13,2
0.92,539750.77,0,13,2
